"nut","k","gammaInt","p","omega","ReThetat","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0.10275,0.16866,9.7632e+07,275.56,-4.7293e-05,7.2969e-06,-3.58e-24,0,0,0,0,1,0,0.5
0,0,0.091808,0.16609,9.7909e+07,277.48,-4.4821e-05,-9.2775e-06,5.2381e-22,0,0,0,0.0020681,0.99795,-0.00029013,0.5
0,0,0.070064,0.16229,9.8549e+07,277.94,-0.0001484,-2.187e-05,2.1944e-27,0,0,0,0.0042877,0.99575,-0.00060072,0.5
0,0,0.063873,0.15836,9.9252e+07,280.38,-0.00023386,-3.384e-05,3.9287e-22,0,0,0,0.0066694,0.9934,-0.00093304,0.5
0,0,0.060184,0.15407,9.9912e+07,281.95,-0.00030803,-4.4143e-05,3.9287e-22,0,0,0,0.0092239,0.99087,-0.0012884,0.5
0,0,0.057465,0.14958,1.0053e+08,283.03,-0.00038289,-5.4443e-05,6.4321e-22,0,0,0,0.011963,0.98815,-0.0016682,0.5
0,0,0.055411,0.14487,1.0111e+08,283.98,-0.00045529,-6.4315e-05,6.4321e-22,0,0,0,0.014898,0.98525,-0.0020739,0.5
0,0,0.053774,0.13997,1.0165e+08,284.86,-0.00052711,-7.4005e-05,-9.1031e-30,0,0,0,0.018044,0.98213,-0.002507,0.5
0,0,0.052278,0.13491,1.0216e+08,285.81,-0.00059892,-8.3595e-05,-4.6952e-22,0,0,0,0.021411,0.9788,-0.0029689,0.5
0,0,0.049933,0.1297,1.0263e+08,286.85,-0.00067115,-9.3131e-05,3.7268e-22,0,0,0,0.025016,0.97522,-0.0034612,0.5
0,0,0.047216,0.12437,1.0307e+08,287.95,-0.00074123,-0.00010226,8.8441e-23,0,0,0,0.028873,0.9714,-0.0039855,0.5
0,0,0.045729,0.11893,1.0348e+08,288.98,-0.0008079,-0.00011079,-8.0566e-23,0,0,0,0.032996,0.96732,-0.0045435,0.5
0,0,0.045084,0.11342,1.0386e+08,289.94,-0.00087272,-0.00011894,1.2732e-21,0,0,0,0.037402,0.96295,-0.0051367,0.5
0,0,0.044566,0.10785,1.0422e+08,290.92,-0.00093584,-0.00012674,6.6441e-23,0,0,0,0.042107,0.95829,-0.0057668,0.5
0,0,0.044142,0.10226,1.0455e+08,291.96,-0.00099713,-0.00013414,-5.3353e-22,0,0,0,0.047128,0.95331,-0.0064353,0.5
0,0,0.043792,0.09665,1.0486e+08,293.07,-0.0010565,-0.00014114,-9.5684e-30,0,0,0,0.052483,0.94801,-0.0071439,0.5
0,0,0.043488,0.091048,1.0515e+08,294.26,-0.0011138,-0.00014772,2.9684e-30,0,0,0,0.058189,0.94235,-0.0078941,0.5
0,0,0.043023,0.085468,1.0542e+08,295.55,-0.0011692,-0.00015389,-6.5125e-22,0,0,0,0.064265,0.93633,-0.0086874,0.5
0,0,0.041537,0.079921,1.0567e+08,296.96,-0.0012227,-0.00015965,-6.5125e-22,0,0,0,0.070728,0.92992,-0.0095251,0.5
0,0,0.040159,0.074417,1.059e+08,298.47,-0.0012734,-0.00016488,-8.5507e-30,0,0,0,0.077597,0.9231,-0.010409,0.5
0,0,0.039856,0.068961,1.0612e+08,300.05,-0.0013211,-0.00016954,2.1246e-27,0,0,0,0.084891,0.91587,-0.011339,0.5
0,0,0.039704,0.063561,1.0632e+08,301.69,-0.0013662,-0.0001737,-1.4901e-27,0,0,0,0.092627,0.9082,-0.012317,0.5
0,0,0.039604,0.05822,1.0651e+08,303.38,-0.0014088,-0.00017738,-3.5754e-27,0,0,0,0.10082,0.90006,-0.013344,0.5
0,0,0.039542,0.052941,1.0668e+08,305.11,-0.0014487,-0.00018053,-5.5768e-22,0,0,0,0.1095,0.89146,-0.014421,0.5
0,0,0.039513,0.047725,1.0684e+08,306.84,-0.0014856,-0.00018314,-5.5769e-22,0,0,0,0.11867,0.88236,-0.015547,0.5
0,0,0.039515,0.042573,1.0699e+08,308.53,-0.0015192,-0.00018516,5.7857e-39,0,0,0,0.12834,0.87275,-0.016723,0.5
0,0,0.039547,0.037484,1.0712e+08,310.15,-0.001549,-0.00018653,-1.7496e-27,0,0,0,0.13854,0.86263,-0.017948,0.5
0,0,0.039613,0.032459,1.0725e+08,311.75,-0.0015741,-0.00018719,2.6954e-22,0,0,0,0.14928,0.85196,-0.019223,0.5
0,0,0.039726,0.027495,1.0737e+08,313.39,-0.0015935,-0.00018701,2.6954e-22,0,0,0,0.16057,0.84076,-0.020546,0.5
0,0,0.039903,0.022593,1.0748e+08,315.05,-0.0016055,-0.0001858,3.2985e-22,0,0,0,0.17241,0.829,-0.021915,0.5
0,0,0.040165,0.017756,1.0757e+08,316.63,-0.0016076,-0.00018334,8.9622e-23,0,0,0,0.18481,0.81667,-0.02333,0.5
0,0,0.040535,0.01298,1.0767e+08,318.01,-0.0015963,-0.00017926,-8.1275e-23,0,0,0,0.19778,0.80379,-0.024787,0.5
0,0,0.04093,0.0082496,1.0775e+08,319.01,-0.0015668,-0.00017313,1.5896e-22,0,0,0,0.21132,0.79033,-0.026285,0.5
0,0,0.040591,0.0035581,1.0783e+08,319.32,-0.0015125,-0.00016429,-1.9984e-30,0,0,0,0.22542,0.77631,-0.02782,0.5
0,0,0.040703,-0.0011034,1.079e+08,318.43,-0.0014194,-0.00015142,1.1517e-30,0,0,0,0.24008,0.76174,-0.029387,0.5
0,0,0.042484,-0.005877,1.0796e+08,315.31,-0.0012626,-0.00013219,-1.0727e-22,0,0,0,0.25529,0.74662,-0.030984,0.5
0,0,0.045558,-0.011493,1.0802e+08,307.9,-0.0010083,-0.00010357,7.5619e-23,0,0,0,0.27103,0.73096,-0.032604,0.5
0,0,0.047078,-0.019523,1.0807e+08,292.4,-0.00064858,-6.5385e-05,1.8289e-22,0,0,0,0.28729,0.71478,-0.034243,0.5
0,0,0.038111,-0.029434,1.0812e+08,264.18,-0.00027022,-2.681e-05,4.0601e-22,0,0,0,0.30404,0.69811,-0.035895,0.5
0,0,0.029714,-0.03786,1.0816e+08,241.52,-8.7e-05,-8.4166e-06,-6.7396e-23,0,0,0,0.32127,0.68096,-0.037553,0.5
0,0,0.02988,-0.043724,1.082e+08,235.46,-7.8931e-05,-7.3935e-06,-4.7341e-22,0,0,0,0.33893,0.66338,-0.039209,0.5
0,0,0.029841,-0.048599,1.0823e+08,234.26,-7.8572e-05,-7.1372e-06,-5.6081e-22,0,0,0,0.357,0.64538,-0.040857,0.5
0,0,0.029693,-0.053284,1.0826e+08,234.94,-8.1312e-05,-7.1411e-06,-5.6082e-22,0,0,0,0.37543,0.62702,-0.042488,0.5
0,0,0.029418,-0.057847,1.0828e+08,236.77,-9.0406e-05,-7.6518e-06,-8.5791e-30,0,0,0,0.39419,0.60833,-0.044093,0.5
0,0,0.029068,-0.062429,1.083e+08,239.46,-0.00010277,-8.3624e-06,2.5804e-38,0,0,0,0.41322,0.58936,-0.045665,0.5
0,0,0.028653,-0.067144,1.0831e+08,242.74,-0.00011764,-9.1665e-06,-7.2501e-22,0,0,0,0.43249,0.57016,-0.047193,0.5
0,0,0.028166,-0.072022,1.0833e+08,246.47,-0.00013521,-1.0045e-05,-7.2501e-22,0,0,0,0.45194,0.55077,-0.04867,0.5
0,0,0.027662,-0.077059,1.0833e+08,250.6,-0.00015528,-1.0941e-05,5.5575e-30,0,0,0,0.47151,0.53125,-0.050085,0.5
