"nut","nuTilda","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0.076416,-0.00043921,-6.5662e-38,-2.395e-08,0,0,0,0,1,-0.5,0
0,0,0.073718,-0.00064175,-1.4916e-21,0.00010049,0,0,0,0.015869,0.98429,-0.5,0.00226
0,0,0.062329,-0.00087535,-3.9425e-22,0.00012142,0,0,0,0.031728,0.96859,-0.5,0.0044744
0,0,0.048785,-0.00098118,2.2168e-22,0.00013333,0,0,0,0.047573,0.95289,-0.5,0.006644
0,0,0.038474,-0.0011004,-8.7563e-22,0.00014688,0,0,0,0.0634,0.93721,-0.5,0.0087697
0,0,0.028581,-0.0011931,-4.6001e-22,0.00015619,0,0,0,0.079207,0.92154,-0.5,0.010852
0,0,0.019925,-0.0012757,-1.6254e-22,0.0001639,0,0,0,0.094988,0.90589,-0.5,0.012892
0,0,0.011922,-0.0013482,2.9748e-22,0.00017001,0,0,0,0.11074,0.89027,-0.5,0.014891
0,0,0.0046005,-0.0014209,1.9535e-23,0.00017587,0,0,0,0.12646,0.87467,-0.5,0.016848
0,0,-0.002211,-0.001487,-2.9831e-23,0.00018063,0,0,0,0.14215,0.8591,-0.5,0.018765
0,0,-0.0085697,-0.0015481,-1.5268e-22,0.00018455,0,0,0,0.15779,0.84357,-0.5,0.020641
0,0,-0.014555,-0.0016049,-1.0333e-22,0.00018773,0,0,0,0.1734,0.82807,-0.5,0.022477
0,0,-0.020219,-0.0016582,-5.4143e-26,0.00019031,0,0,0,0.18895,0.81262,-0.5,0.024273
0,0,-0.025609,-0.0017089,2.4203e-22,0.00019246,0,0,0,0.20446,0.79721,-0.5,0.02603
0,0,-0.03077,-0.0017637,-3.6325e-23,0.00019484,0,0,0,0.21991,0.78186,-0.5,0.027748
0,0,-0.035737,-0.0018158,-2.7848e-22,0.00019661,0,0,0,0.23531,0.76655,-0.5,0.029426
0,0,-0.040533,-0.001859,-7.2322e-26,0.00019722,0,0,0,0.25064,0.75131,-0.5,0.031065
0,0,-0.045183,-0.0019001,-3.8737e-22,0.00019739,0,0,0,0.2659,0.73613,-0.5,0.032664
0,0,-0.049706,-0.0019331,-3.8747e-22,0.00019658,0,0,0,0.2811,0.72101,-0.5,0.034224
0,0,-0.054115,-0.0019657,1.6857e-26,0.00019567,0,0,0,0.29623,0.70596,-0.5,0.035744
0,0,-0.058432,-0.0020044,-4.9277e-22,0.00019518,0,0,0,0.31128,0.69098,-0.5,0.037223
0,0,-0.062673,-0.0020423,-1.0175e-21,0.00019433,0,0,0,0.32625,0.67608,-0.5,0.038662
0,0,-0.066845,-0.0020797,-5.2461e-22,0.00019318,0,0,0,0.34113,0.66126,-0.5,0.04006
0,0,-0.070959,-0.0021167,1.3686e-25,0.00019176,0,0,0,0.35593,0.64653,-0.5,0.041417
