#      x          Cp  
     1.00000    0.05922
     0.99168    0.05377
     0.98037    0.04170
     0.96727    0.02848
     0.95272    0.01415
     0.93720   -0.00103
     0.92112   -0.01753
     0.90474   -0.03557
     0.88821   -0.05714
     0.87160   -0.08415
     0.85494   -0.11829
     0.83827   -0.16054
     0.82158   -0.21161
     0.80488   -0.25348
     0.78817   -0.25813
     0.77146   -0.26267
     0.75475   -0.26717
     0.73803   -0.27169
     0.72132   -0.27627
     0.70460   -0.28097
     0.68789   -0.28582
     0.67118   -0.29087
     0.65447   -0.29616
     0.63777   -0.30173
     0.62108   -0.30762
     0.60440   -0.31388
     0.58772   -0.32055
     0.57106   -0.32766
     0.55441   -0.33526
     0.53778   -0.34335
     0.52116   -0.35193
     0.50456   -0.36105
     0.48798   -0.37075
     0.47143   -0.38108
     0.45489   -0.39205
     0.43839   -0.40369
     0.42191   -0.41598
     0.40546   -0.42892
     0.38905   -0.44247
     0.37268   -0.45660
     0.35635   -0.47129
     0.34007   -0.48650
     0.32383   -0.50220
     0.30766   -0.51838
     0.29154   -0.53502
     0.27550   -0.55212
     0.25953   -0.56968
     0.24366   -0.58770
     0.22788   -0.60621
     0.21222   -0.62523
     0.19670   -0.64478
     0.18135   -0.66492
     0.16619   -0.68567
     0.15127   -0.70709
     0.13666   -0.72919
     0.12246   -0.75197
     0.10877   -0.77535
     0.09575   -0.79914
     0.08358   -0.82299
     0.07242   -0.84640
     0.06239   -0.86874
     0.05354   -0.88931
     0.04581   -0.90743
     0.03910   -0.92246
     0.03329   -0.93369
     0.02826   -0.94034
     0.02387   -0.94138
     0.02003   -0.93551
     0.01666   -0.92095
     0.01369   -0.89538
     0.01108   -0.85579
     0.00879   -0.79836
     0.00678   -0.71850
     0.00505   -0.61122
     0.00358   -0.47199
     0.00236   -0.29864
     0.00140   -0.09396
     0.00070    0.13136
     0.00024    0.35978
     0.00003    0.56788
     0.00003    0.74035
     0.00024    0.87421
     0.00070    0.96194
     0.00140    0.99825
     0.00236    0.98975
     0.00358    0.94660
     0.00505    0.88194
     0.00678    0.80444
     0.00879    0.72265
     0.01108    0.64021
     0.01369    0.56040
     0.01666    0.48437
     0.02003    0.41280
     0.02387    0.34582
     0.02826    0.28332
     0.03329    0.22515
     0.03910    0.17115
     0.04581    0.12126
     0.05354    0.07553
     0.06239    0.03414
     0.07242   -0.00266
     0.08358   -0.03471
     0.09575   -0.06200
     0.10877   -0.08476
     0.12246   -0.10339
     0.13666   -0.11837
     0.15127   -0.13023
     0.16619   -0.13942
     0.18135   -0.14634
     0.19670   -0.15135
     0.21222   -0.15473
     0.22788   -0.15672
     0.24366   -0.15752
     0.25953   -0.15728
     0.27550   -0.15616
     0.29154   -0.15427
     0.30766   -0.15171
     0.32383   -0.14856
     0.34007   -0.14490
     0.35635   -0.14079
     0.37268   -0.13629
     0.38905   -0.13143
     0.40546   -0.12625
     0.42191   -0.12079
     0.43839   -0.11508
     0.45489   -0.10913
     0.47143   -0.10297
     0.48798   -0.09660
     0.50456   -0.09005
     0.52116   -0.08331
     0.53778   -0.07640
     0.55441   -0.06932
     0.57106   -0.06208
     0.58772   -0.05469
     0.60440   -0.04718
     0.62108   -0.03956
     0.63777   -0.03188
     0.65447   -0.02417
     0.67118   -0.01652
     0.68789   -0.00901
     0.70460   -0.00172
     0.72132    0.00523
     0.73803    0.01175
     0.75475    0.01779
     0.77146    0.02335
     0.78817    0.02847
     0.80488    0.03319
     0.82158    0.03742
     0.83827    0.04115
     0.85494    0.04441
     0.87160    0.04723
     0.88821    0.04965
     0.90474    0.05171
     0.92112    0.05346
     0.93720    0.05493
     0.95272    0.05616
     0.96727    0.05717
     0.98037    0.05800
     0.99168    0.05867
     1.00000    0.05922
